pad_WELL_PAD_ID,pad_WELL_PAD,CLIENT,COUNTY,n_waste_records,total_tons,total_bbls,first_period,last_period,included
145606,KEVECH,EQT PROD CO,Washington,2,,,Nov 2020 (WASTE: Unconventional wells),Nov 2020 (WASTE: Unconventional wells),True
151753,CAPTAIN JACK SPARROW,RICE DRILLING B LLC,Washington,2,,,Feb 2019 (WASTE: Unconventional wells),Feb 2019 (WASTE: Unconventional wells),True
148029,COOPER,EQT PROD CO,Greene,2,,,Feb 2019 (WASTE: Unconventional wells),Feb 2019 (WASTE: Unconventional wells),True
147717,ALPHA UNIT,RICE DRILLING B LLC,Greene,2,,,Feb 2019 (WASTE: Unconventional wells),Feb 2019 (WASTE: Unconventional wells),True
150002,SWAGLER,RICE DRILLING B LLC,Washington,2,,,Feb 2019 (WASTE: Unconventional wells),Feb 2019 (WASTE: Unconventional wells),True
149511,W L HOPKINS,EQT PRODUCTION CO,GREENE,2,,,Nov 2020 (WASTE: Unconventional wells),Nov 2020 (WASTE: Unconventional wells),True
148277,ROSBOROUGH,EQT PROD CO,Armstrong,2,,,Nov 2020 (WASTE: Unconventional wells),Nov 2020 (WASTE: Unconventional wells),True
145134,GIRTY,EQT PROD CO,Armstrong,1,,,Jul-Dec 2015 (WASTE ONLY: Unconventional Wells),Jul-Dec 2015 (WASTE ONLY: Unconventional Wells),True
149803,WFN4,NOBLE ENERGY INC,Washington,1,,,Sep 2017 (WASTE: Unconventional wells),Sep 2017 (WASTE: Unconventional wells),True
150303,MAMMA BEAR,RICE DRILLING B LLC,Washington,1,,,Feb 2019 (WASTE: Unconventional wells),Feb 2019 (WASTE: Unconventional wells),True
149558,WEST RUN,EQT PROD CO,Greene,1,,,Feb 2019 (WASTE: Unconventional wells),Feb 2019 (WASTE: Unconventional wells),True
149569,WHITE,EQT PROD CO,Greene,1,,,Feb 2019 (WASTE: Unconventional wells),Feb 2019 (WASTE: Unconventional wells),True
148915,MOORE,EQT PROD CO,Greene,1,,,Jan-Jun 2016 (WASTE ONLY: Unconventional Wells),Jan-Jun 2016 (WASTE ONLY: Unconventional Wells),True
148588,BROWNS RUN / J D THISTLETHWAITE,EQT PROD CO,Greene,1,,,Feb 2019 (WASTE: Unconventional wells),Feb 2019 (WASTE: Unconventional wells),True
149121,PYLES,EQT PROD CO,Greene,1,,,Jan-Jun 2016 (WASTE ONLY: Unconventional Wells),Jan-Jun 2016 (WASTE ONLY: Unconventional Wells),True
149437,THOMPSON,EQT PROD CO,Greene,1,,,Feb 2019 (WASTE: Unconventional wells),Feb 2019 (WASTE: Unconventional wells),True
148160,D THARP,EQT PROD CO,Greene,1,,,Jan-Jun 2016 (WASTE ONLY: Unconventional Wells),Jan-Jun 2016 (WASTE ONLY: Unconventional Wells),True
148576,PIERCE,EQT PROD CO,Greene,1,,,Jan-Jun 2016 (WASTE ONLY: Unconventional Wells),Jan-Jun 2016 (WASTE ONLY: Unconventional Wells),True
151101,WFN10,NOBLE ENERGY INC,Washington,1,,,Sep 2017 (WASTE: Unconventional wells),Sep 2017 (WASTE: Unconventional wells),True
152510,RUMPELSTILTSKIN,RICE DRILLING B LLC,Washington,1,,,Nov 2020 (WASTE: Unconventional wells),Nov 2020 (WASTE: Unconventional wells),True
152308,WOLVERINE,RICE DRILLING B LLC,Washington,1,,,Nov 2020 (WASTE: Unconventional wells),Nov 2020 (WASTE: Unconventional wells),True
154192,HEYL,EQT PROD CO,Washington,1,,,Nov 2020 (WASTE: Unconventional wells),Nov 2020 (WASTE: Unconventional wells),True
154229,REDD,EQT PROD CO,Washington,1,,,Nov 2020 (WASTE: Unconventional wells),Nov 2020 (WASTE: Unconventional wells),True
155897,POLECAT WELL SITE,EQT PROD CO,Greene,1,,,Nov 2020 (WASTE: Unconventional wells),Nov 2020 (WASTE: Unconventional wells),True
