original_filename,lab_sample_id,assigned_rid,method
000748_B09-I_Rosenberger_7-03-0-033-000-CG-000_W1_Master EDD_UPDATE THIS.pdf,2212184-01,s:2211514-01,metadata_cluster
000748_B09-I_Rosenberger_7-03-0-033-000-CG-000_W1_Master EDD_UPDATE THIS.pdf,2212280-01,s:2211514-01,metadata_cluster
000748_B09-I_Rosenberger_7-03-0-033-000-CG-000_W1_Master EDD_UPDATE THIS.pdf,2212740-01,s:2211514-01,metadata_cluster
000748_B09-I_Rosenberger_7-03-0-033-000-CG-000_W1_Master EDD_UPDATE THIS.pdf,22J0606-01,s:2211514-01,metadata_cluster
000748_B09-I_Rosenberger_7-03-0-033-000-CG-000_W1_Master EDD_UPDATE THIS.pdf,23A0635-Grab,s:23A0635-Grab,metadata_cluster
000751_Seneca Resources_Cruttenden 846_Owlett Rebuttal Report.pdf,1019814,s:1019814,single_report
000783_Sturgis B_RWC802_26R_2022.pdf,9C07062-01,s:9C07062-01,metadata_cluster
000783_Sturgis B_RWC802_26R_2022.pdf,8H09207-01,s:8H09207-01,metadata_cluster
000789_Guillame 08-714_802_PW 2023.pdf,30529170002,s:30529170002,single_report
000798_SWNPC_FORM 26R_RY2022_RWC 802_PRODUCED FLUID.pdf,AW2413-01,s:AW2413-01,metadata_cluster
000798_SWNPC_FORM 26R_RY2022_RWC 802_PRODUCED FLUID.pdf,AWK1633-01,s:AWK1633-01,metadata_cluster
000798_SWNPC_FORM 26R_RY2022_RWC 802_PRODUCED FLUID.pdf,AWK2633-01,s:AWK2633-01,metadata_cluster
000798_SWNPC_FORM 26R_RY2022_RWC 802_PRODUCED FLUID.pdf,AWK1632-01,s:AWK1632-01,metadata_cluster
000798_SWNPC_FORM 26R_RY2022_RWC 802_PRODUCED FLUID.pdf,AWK2627-01,s:AWK2627-01,metadata_cluster
000805_Broadwater Drill Fluid.pdf,4D24118-01,s:4D24118-01,single_report
000806_SWNPC_FORM 26R_RY2022_RWC 810_DRILL CUTTINGS.pdf,22081906-001,s:22081906-001,single_report
000806_SWNPC_FORM 26R_RY2022_RWC 810_DRILL CUTTINGS.pdf,22081906-002,s:22081906-001,single_report
000808_RedHookCS_501502 AsbestosPCB Containing Waste.pdf,8C02128-01,s:8C02128-01,single_report
000808_RedHookCS_501502 AsbestosPCB Containing Waste.pdf,8C02128-02,s:8C02128-01,single_report
